mu,rep,method,k_true,k_hat,NMI,ARI,runtime
0.3,0,Spectral,19,,0.9821758942752924,0.975624643077415,0.3784284591674804
0.3,1,Greedy,21,,0.5941392306737923,0.2780301327860533,3.479025363922119
0.3,1,Infomap,21,,0.9947142031665244,0.9919596823473672,0.2458267211914062
0.3,1,LPA,21,,0.9692597502582634,0.9185883066715133,0.0447385311126709
0.3,1,Leiden,21,,0.987464208702844,0.9796295830281996,0.1147413253784179
0.3,1,Louvain,21,,0.9720559618114591,0.9484152531697572,0.1645712852478027
0.3,1,N2V+KM,21,,0.96821642050039,0.9373772228774376,30.23915147781372
0.3,1,PHSCD,21,21.0,0.9967885331071524,0.9962891921535808,74.05478262901306
0.3,1,Spectral,21,,0.9882232959013584,0.984553519221604,0.2633764743804931
0.3,2,Greedy,22,,0.5406984711156335,0.248162006907301,9.58943009376526
0.3,2,Infomap,22,,0.993818475192808,0.9907871892658402,0.6193521022796631
0.3,2,LPA,22,,0.9882052470357916,0.982567865477758,0.0993223190307617
0.3,2,Leiden,22,,0.9853963771616724,0.9760922785963208,0.2606732845306396
0.3,2,Louvain,22,,0.9853963771616724,0.9760922785963208,0.330294132232666
0.3,2,N2V+KM,22,,0.9870274768128168,0.983135459313913,70.24110817909241
0.3,2,PHSCD,22,22.0,0.992095289167638,0.9879739537336693,73.0915937423706
0.3,2,Spectral,22,,0.9917069235414668,0.9884805969552132,0.8773646354675293
0.4,0,Greedy,19,,0.383531524176502,0.2056945183608302,10.66296935081482
0.4,0,Infomap,19,,0.8673239369385812,0.8449524237815763,0.9312989711761476
0.4,0,LPA,19,,0.0,0.0,0.1424477100372314
0.4,0,Leiden,19,,0.8162866648951518,0.73294248125437,0.3118183612823486
0.4,0,Louvain,19,,0.8064603517692421,0.722821963113478,0.9810240268707277
0.4,0,N2V+KM,19,,0.7934617913198709,0.7545976435852664,61.0905556678772
0.4,0,PHSCD,19,19.0,0.9069412466626084,0.8927286085027347,82.39764070510864
0.4,0,Spectral,19,,0.8636024559996862,0.8265874535004172,0.4909350872039795
0.4,1,Greedy,21,,0.41475240497261,0.1735055672903143,10.016178131103516
0.4,1,Infomap,21,,0.9374592503760388,0.9046132775262872,0.7856597900390625
0.4,1,LPA,21,,0.0,0.0,0.107034683227539
0.4,1,Leiden,21,,0.9185621428116064,0.874867513738202,0.2438633441925048
0.4,1,Louvain,21,,0.8788129050662347,0.7687838208714387,0.5884692668914795
0.4,1,N2V+KM,21,,0.8723409061817876,0.8119731509091078,68.52994227409363
0.4,1,PHSCD,21,21.0,0.9428599457355824,0.9147376475164004,94.2466847896576
0.4,1,Spectral,21,,0.936628194860244,0.907955373041694,0.5583605766296387
0.4,2,Greedy,22,,0.4066933089071216,0.1728486219693634,10.153730154037476
0.4,2,Infomap,22,,0.9183243297687368,0.8900323039911182,0.749798059463501
0.4,2,LPA,22,,0.0,0.0,0.08298921585083
0.4,2,Leiden,22,,0.8863565248899926,0.8217860585447221,0.3332362174987793
0.4,2,Louvain,22,,0.8938236568393855,0.8542861928018806,0.4880974292755127
0.4,2,N2V+KM,22,,0.86408077995253,0.8109706822168099,67.19962477684021
0.4,2,PHSCD,22,22.0,0.923613079141812,0.8985228878300509,74.66413927078247
0.4,2,Spectral,22,,0.913460427186681,0.8842810287474223,0.9066131114959716
0.5,0,Greedy,19,,0.1975476386031711,0.0859195826782714,10.710790395736694
0.5,0,Infomap,19,,0.0,0.0,0.7506601810455322
0.5,0,LPA,19,,0.0,0.0,0.1074166297912597
0.5,0,Leiden,19,,0.4618073248720951,0.3016429571296488,0.351994514465332
0.5,0,Louvain,19,,0.4671919877783761,0.3098457403392813,0.8794999122619629
0.5,0,N2V+KM,19,,0.3894375354462189,0.2037090992930949,59.36808395385742
0.5,0,PHSCD,19,19.0,0.5926084386773842,0.4749481152706299,138.0980257987976
0.5,0,Spectral,19,,0.5302134389727544,0.3683886963639923,0.5008912086486816
0.5,1,Greedy,21,,0.1888005377922179,0.0679624917538992,11.324030637741089
